h,d,a,k,setPk_max,verify_value
7,2,4,59,66863,5862195
7,2,4,60,66863,5894712
7,2,5,47,66863,5686521
7,2,5,48,66863,5769561
7,2,6,39,66851,5628532
7,2,6,40,66863,5648966
7,2,7,34,66851,5554143
7,2,8,30,66863,5570813
7,2,9,26,66851,5450732
7,2,10,24,66863,5496426
7,2,12,20,66863,5464949
7,2,13,18,66863,5367960
7,2,14,17,66863,5409844
7,2,15,16,66863,5383316
7,2,16,15,66863,5401542
7,2,17,14,66851,5345677
7,2,18,13,66851,5308872
7,2,20,12,66863,5339056
7,2,24,10,66863,5319875
7,2,26,9,66851,5276474
7,3,4,59,66863,6626993
7,3,4,60,66839,6663157
7,3,5,47,66863,6475020
7,3,5,48,66863,6562269
7,3,6,39,66863,6391971
7,3,6,40,66863,6386106
7,3,7,34,66863,6300714
7,3,8,30,66863,6308350
7,3,9,26,66863,6234230
7,3,10,24,66863,6330956
7,3,12,20,66851,6261523
7,3,13,18,66863,6117538
7,3,14,17,66851,6130347
7,3,15,16,66863,6153588
7,3,16,15,66851,6126161
7,3,17,14,66863,6137683
7,3,18,13,66863,6070406
7,3,20,12,66851,6151405
7,3,24,10,66863,6136860
7,3,26,9,66863,6114600
7,4,4,59,66863,7418967
7,4,4,60,66863,7417315
7,4,5,47,66863,7242461
7,4,5,48,66863,7385561
7,4,6,39,66863,7111364
7,4,6,40,66863,7182315
7,4,7,34,66863,7082441
7,4,8,30,66863,7019424
7,4,9,26,66863,7000341
7,4,10,24,66863,7028868
7,4,12,20,66863,6967534
7,4,13,18,66863,6861599
7,4,14,17,66863,6930406
7,4,15,16,66863,6890022
7,4,16,15,66863,6914050
7,4,17,14,66863,6921512
7,4,18,13,66863,6853118
7,4,20,12,66863,6816719
7,4,24,10,66863,6905687
7,4,26,9,66863,6783133
7,5,4,59,66863,8223110
7,5,4,60,66863,8233967
7,5,5,47,66863,8045845
7,5,5,48,66863,8154871
7,5,6,39,66863,7909724
7,5,6,40,66851,7994092
7,5,7,34,66863,7855328
7,5,8,30,66863,7796502
7,5,9,26,66863,7747643
7,5,10,24,66863,7814460
7,5,12,20,66863,7740364
7,5,13,18,66851,7637924
7,5,14,17,66863,7685820
7,5,15,16,66863,7696233
7,5,16,15,66863,7685856
7,5,17,14,66863,7703128
7,5,18,13,66863,7638673
7,5,20,12,66863,7618158
7,5,24,10,66863,7694820
7,5,26,9,66863,7572014
7,6,4,59,66863,9015403
7,6,4,60,66863,9048219
7,6,5,47,66863,8837681
7,6,5,48,66863,8964348
7,6,6,39,66863,8696811
7,6,6,40,66863,8798074
7,6,7,34,66863,8654823
7,6,8,30,66863,8582851
7,6,9,26,66863,8546493
7,6,10,24,66863,8614176
7,6,12,20,66851,8505833
7,6,13,18,66863,8419576
7,6,14,17,66863,8472110
7,6,15,16,66863,8478680
7,6,16,15,66863,8459306
7,6,17,14,66863,8506648
7,6,18,13,66863,8429350
7,6,20,12,66863,8404736
7,6,24,10,66851,8481566
7,6,26,9,66863,8319362
